==PROF== Connected to process 9003 (/usr/bin/python3.10)
==PROF== Disconnected from process 9003
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","9003","python3.10","127.0.0.1","void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(131072, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","88.44"
"0","9003","python3.10","127.0.0.1","void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(131072, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","51.00"
"0","9003","python3.10","127.0.0.1","void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(131072, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","14.38"
"0","9003","python3.10","127.0.0.1","void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(131072, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","84.27"
"1","9003","python3.10","127.0.0.1","nvjet_sm90_hsh_256x8_64x6_2x1_v_bz_NNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","50.24"
"1","9003","python3.10","127.0.0.1","nvjet_sm90_hsh_256x8_64x6_2x1_v_bz_NNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","7.23"
"1","9003","python3.10","127.0.0.1","nvjet_sm90_hsh_256x8_64x6_2x1_v_bz_NNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","8.28"
"1","9003","python3.10","127.0.0.1","nvjet_sm90_hsh_256x8_64x6_2x1_v_bz_NNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","14.55"
"2","9003","python3.10","127.0.0.1","void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(131072, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","87.87"
"2","9003","python3.10","127.0.0.1","void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(131072, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","50.88"
"2","9003","python3.10","127.0.0.1","void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(131072, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","14.25"
"2","9003","python3.10","127.0.0.1","void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(131072, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","84.33"
"3","9003","python3.10","127.0.0.1","kernel_batched_w4a16_simple","1","7","(128, 1, 1)","(128, 8, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","11.71"
"3","9003","python3.10","127.0.0.1","kernel_batched_w4a16_simple","1","7","(128, 1, 1)","(128, 8, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","23.00"
"3","9003","python3.10","127.0.0.1","kernel_batched_w4a16_simple","1","7","(128, 1, 1)","(128, 8, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","46.55"
