==PROF== Connected to process 8767 (/usr/bin/python3.10)
==PROF== Disconnected from process 8767
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","8767","python3.10","127.0.0.1","nvjet_sm90_hsh_256x8_64x6_2x1_v_bz_NNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","50.39"
"0","8767","python3.10","127.0.0.1","nvjet_sm90_hsh_256x8_64x6_2x1_v_bz_NNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","7.20"
"0","8767","python3.10","127.0.0.1","nvjet_sm90_hsh_256x8_64x6_2x1_v_bz_NNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","8.30"
"0","8767","python3.10","127.0.0.1","nvjet_sm90_hsh_256x8_64x6_2x1_v_bz_NNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","14.56"
"1","8767","python3.10","127.0.0.1","kernel_batched_w4a16_simple","1","7","(128, 1, 1)","(128, 8, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","11.93"
"1","8767","python3.10","127.0.0.1","kernel_batched_w4a16_simple","1","7","(128, 1, 1)","(128, 8, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","23.00"
"1","8767","python3.10","127.0.0.1","kernel_batched_w4a16_simple","1","7","(128, 1, 1)","(128, 8, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","47.56"
"1","8767","python3.10","127.0.0.1","kernel_batched_w4a16_simple","1","7","(128, 1, 1)","(128, 8, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","33.28"
"2","8767","python3.10","127.0.0.1","nvjet_sm90_hsh_256x8_64x6_2x1_v_bz_NNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","50.87"
"2","8767","python3.10","127.0.0.1","nvjet_sm90_hsh_256x8_64x6_2x1_v_bz_NNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","7.23"
"2","8767","python3.10","127.0.0.1","nvjet_sm90_hsh_256x8_64x6_2x1_v_bz_NNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","8.39"
"2","8767","python3.10","127.0.0.1","nvjet_sm90_hsh_256x8_64x6_2x1_v_bz_NNT","1","7","(384, 1, 1)","(2, 66, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","14.55"
"3","8767","python3.10","127.0.0.1","kernel_batched_w4a16_simple","1","7","(128, 1, 1)","(128, 8, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","12.01"
"3","8767","python3.10","127.0.0.1","kernel_batched_w4a16_simple","1","7","(128, 1, 1)","(128, 8, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","23.06"
"3","8767","python3.10","127.0.0.1","kernel_batched_w4a16_simple","1","7","(128, 1, 1)","(128, 8, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","48.01"
"3","8767","python3.10","127.0.0.1","kernel_batched_w4a16_simple","1","7","(128, 1, 1)","(128, 8, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","33.26"
